Payment ID,Employee handler name,Payment method,Payment status,Total amount,Card Number,Reference ID
ex20241111001,Son,cash,true,100000.0,null,432be04646bc2dbc0d9a5b8ac24b153cc2eb9b9da17bdf20dfe6c6d08005e4c0
im20241111001,Nguyet Anh,card,true,25000.0,1234567898765432,132797538ebe07cb38412290f98baf98e3df9be5147741d94a84979e6bc2635b
ex20241111001,Khanh,cash,true,45222.0,null,80573588aa344f841bce6ed2c943bd1fdfc89895a3c4bdea1062c0d48836d5fb
ex20241111002,Son,cash,true,100000.0,null,f11d08d1a25dd1045e515c3f862dc3bb22061886a02c585559c896a8c68dc993
im20241111002,Nguyet Anh,cash,true,25000.0,null,2365be4abfe91eeb895054f4227d7ec8f72306203ac88a0e03caf13bd8fb512f
ex20241111003,Khanh,cash,true,45222.0,null,36ada06854dae16da287859e6a8cebbc6d1cafbf49f23f7d2a47ee90e9034331im20241111003,Chin,cash,true,300.0,null,0f65897669ef1ba1e839b46779a31f3e8e4ad980a169bd2c77bccb4762286ff3
ex20241111004,null,cash,true,35.0,null,3d27095ca2f939e59529fe26a30f3a2adebc04425988e1a786fb2c7565f0acf8
ex20241111005,null,cash,true,80.0,null,454648265d20bedf6d81c4903b56882db0071fca04bf64ccda5b0d4b8ed3a696
ex20241111006,Chin,cash,true,80.0,null,7dfbcf2c0f151d20de100c6cde4c70e4e2e8b08781a2ef86413746cf75881274
ex20241111007,Chin,cash,true,35.0,null,23bf5470b11a35bdaa91c1719c952919bf8dc823d074320f31fc2d32ee29e6ca
ex20241111008,Chin,cash,true,25.0,null,298b08b248e8812d06693d836ecc499fcdce23eb52653eae642cec5652e3144b
ex20241111009,Chin,cash,true,25.0,null,c9d5131dfe83591df34a8bfbbf4de468a8e9e41cf87226ee9fd6d3c7f8ab16de
ex20241111010,Chin,cash,true,0.0,null,513fdff23619fe24e53b3733768126f1154e0399310d311f41015123ad02e307
ex20241111011,Chin,cash,true,0.0,null,3a496397bd788c5dc66baf2d7d82f1d11d890b86344b257076e97c58c4265e91
ex20241111012,Chin,cash,true,314.0,null,8c2f12b26ad493361e038a24623b08a0f2c62b5ced2955a5852d205b9b810712
ex20241111013,Chin,cash,true,460.0,null,ccd5ce4df1974ef2096360fcdd151a259a4d07f4ec001dd6399a9ca000cf5570
ex20241111014,Chin,cash,true,552.0,null,3fa2355cadbafc9b63d6ab2f121cd5b8d0c68172c2842f68ef75bf551844fd7c
ex20241111015,Chin,cash,true,5950.0,null,84e5035cdf1d2706a61e084fde387a18c6e409e3966415258cd6f0b290a1e5cd
ex20241112016,Chin,cash,true,46.0,null,e37f9cda69fcab9b0b9062cfa9afe504914cfbaaac779eecab205256d99c3df1
im20241112003,Jane Doe,cash,true,400.0,null,eed2aeaa6c3f094d61ac259d1e5c946621958a0b016543cddf748365e8000281
im20241112004,Quan ly ne,cash,true,0.0,null,b34add3b6f4cca9c029d9c3dbc9e4d56fc9b75dfac16b4b223b160054ca0e194
im20241112005,Quan ly ne,cash,true,0.0,null,dcb5aa9636945d2482386be2f3d7e5a45467564e530da284f259baa329731005
im20241112006,Jane Doe,cash,true,575.0,null,44527887c516130b9ccfd03e616b441356ee188d7b19e5c6a3b6f9643bc85474
im20241112007,Jane Doe,cash,true,1150.0,null,78ebf08e8375bf9fd8c8bff89a45b775777c0fce74c7577f5ccfea502a319a60
im20241112008,Jane Doe,cash,true,1725.0,null,e40386ec49d27fe61f6318efdd9661f9bfa6cc1b60fe9bc006f20600b35aaea2
im20241112009,Jane Doe,cash,true,575.0,null,96cf1e87f7cfbcce67f3ff3a786700992cfecce9aedc8452ea8ec14acd0ca171
im20241112010,Jane Doe,cash,true,1150.0,null,e6dc76a686e8303ff3586d917b826aeb0f608fd1c5369edd55f10291621e88d7
im20241112011,Jane Doe,cash,true,575.0,null,aa64b737219363bda8a66d993b5bbc7a24cdbeac5596978616e4a33395a832e2
im20241112012,Jane Doe,cash,true,1150.0,null,416498442716d5d075e335d73dd1d9dba4ff47112c6d7325417b34121d1279d0
im20241112013,Jane Doe,cash,true,575.0,null,c82276a08cb396b5b22d62a546b0dec8e7c3b387a21ffde7eff5dd131cd7f1c3
im20241112013,Jane Doe,cash,true,325.0,null,691fa79ad5dac261bad7d1ac559a39fc80d2cae91c49587af2c7c17d5d736e02
im20241112014,Jane Doe,cash,true,585.0,null,d628056e7167b888b7ba143a913df7f1b1d08543daec6406cfff6f04108e3c3a
ex20241112017,Chin,cash,true,40.0,null,ce9cdfc9f0f07a3f87b120fef172b75f836edf485a08d4dd4f50ae50d32390ff
ex20241112018,Chin,cash,true,40.0,null,8e10676a2261cc793b1c920f1011174881583d317d01029c748f3146f5e46b30
ex20241112019,Chin,cash,true,2.0,null,86904c4e5d38f88245b0a85a944ad0e9afa3a3b89f5ab70ec1a8c4e8f8b88e40
ex20241112020,Chin,cash,true,2.0,null,99612516e2365d43a2291127515aff2752a9a436a7a11ab9a0aad75c3675d438
