Payment ID,Employee handler name,Payment method,Payment status,Total amount,Card Number,Reference ID
ex20241111001,Son,cash,true,100000.0,null,432be04646bc2dbc0d9a5b8ac24b153cc2eb9b9da17bdf20dfe6c6d08005e4c0
im20241111001,Nguyet Anh,card,true,25000.0,1234567898765432,132797538ebe07cb38412290f98baf98e3df9be5147741d94a84979e6bc2635b
ex20241111001,Khanh,cash,true,45222.0,null,80573588aa344f841bce6ed2c943bd1fdfc89895a3c4bdea1062c0d48836d5fb
ex20241111002,Son,cash,true,100000.0,null,f11d08d1a25dd1045e515c3f862dc3bb22061886a02c585559c896a8c68dc993
im20241111002,Nguyet Anh,cash,true,25000.0,null,2365be4abfe91eeb895054f4227d7ec8f72306203ac88a0e03caf13bd8fb512f
ex20241111003,Khanh,cash,true,45222.0,null,36ada06854dae16da287859e6a8cebbc6d1cafbf49f23f7d2a47ee90e903433
ex20241111005,null,cash,true,80.0,null,454648265d20bedf6d81c4903b56882db0071fca04bf64ccda5b0d4b8ed3a696
ex20241111006,Chin,cash,true,80.0,null,7dfbcf2c0f151d20de100c6cde4c70e4e2e8b08781a2ef86413746cf75881274
ex20241111007,Chin,cash,true,35.0,null,23bf5470b11a35bdaa91c1719c952919bf8dc823d074320f31fc2d32ee29e6ca
ex20241111008,Chin,cash,true,25.0,null,298b08b248e8812d06693d836ecc499fcdce23eb52653eae642cec5652e3144b

im20241118003,Jane Doe,cash,true,1565.0,null,ededbb12411fb59c87ddabcbf0ae16e989657674b77aca1478ef01706cbaedc5
ex20241118009,Jane Doe,cash,true,770.0,null,942bef872409d83c33b9e1933250359e864d3b19cacf48cf383ee313c0a15d6f
im20241118004,Jane Doe,cash,true,1565.0,null,240a70ded15c8cd3d0d543e198879c2370caaabb86f7ff3c826949e5a6f3aae4
ex20241118010,Jane Doe,cash,true,599.9,null,fd105ee45c52539e20e2057a28cf015bac9313d7b9a458bbf97592474fee265a
im20241118005,Jane Doe,cash,true,1565.0,null,65eeba33378d6f2518ae6164b9c25f98860e858295c67d25ee2235046ce25c69
im20241118006,Jane Doe,cash,true,660.0,null,23777b695f23e82e1155e46689ff6c75a4a74f90e1bfe2007856f9fa879e3415
